app_id,is_free,,,
12360,0,,,
12390,0,,,
12420,0,,,
12430,0,,,
12440,0,,,
12450,0,,,
12460,0,,,
12470,0,,,
12480,0,,,
12500,0,,,
12510,0,,,
12520,0,,,
12530,0,,,
12540,0,,,
12560,0,,,
12570,0,,,
12580,0,,,
12590,0,,,
12600,0,,,
12640,0,,,
12670,0,,,
12690,0,,,
12710,0,,,
12770,0,,,
12790,0,,,
12810,0,,,
12820,1,,,
12830,0,,,
12890,1,,,
12900,0,,,
12910,1,,,
13000,0,,,
13010,1,,,
13140,1,,,
13500,0,,,
13520,0,,,
13530,0,,,
13540,0,,,
13560,0,,,
13570,0,,,
13580,0,,,
13600,0,,,
13620,0,,,
13630,0,,,
15000,0,,,
15080,0,,,
15100,0,,,
15120,0,,,
15130,0,,,
15160,0,,,
15170,0,,,
15190,0,,,
15200,0,,,
15210,0,,,
15240,0,,,
15270,0,,,
15300,0,,,
15320,0,,,
15370,0,,,
15380,0,,,
15390,0,,,
15400,0,,,
15500,0,,,
15510,1,,,
15520,0,,,
15560,0,,,
15620,0,,,
15680,1,,,
15700,0,,,
15710,0,,,
15720,1,,,
15730,1,,,
15740,0,,,
15750,0,,,
15800,0,,,
15810,1,,,
15900,0,,,
15902,1,,,
15910,0,,,
15912,1,,,
15920,0,,,
15922,1,,,
15930,0,,,
15932,1,,,
15952,1,,,
15960,0,,,
15962,1,,,
15970,0,,,
15972,1,,,
16000,0,,,
16002,1,,,
16020,0,,,
16022,1,,,
16030,0,,,
16032,1,,,
16040,0,,,
16042,1,,,
16060,0,,,
16062,1,,,
16100,0,,,
16110,0,,,
16120,0,,,
16130,0,,,
16140,1,,,
16150,1,,,
16160,1,,,
16170,1,,,
16180,0,,,
16190,1,,,
16200,0,,,
16210,1,,,
16300,0,,,
16450,0,,,
16470,1,,,
16500,0,,,
16510,1,,,
16600,0,,,
16610,1,,,
16620,0,,,
16630,1,,,
16710,0,,,
16720,0,,,
16730,0,,,
16810,0,,,
16900,0,,,
17020,1,,,
17080,1,,,
17100,0,,,
17110,1,,,
17120,0,,,
17140,0,,,
17180,0,,,
17330,0,,,
17390,0,,,
17410,0,,,
17440,0,,,
17460,0,,,
17470,0,,,
17480,0,,,
17500,1,,,
17570,1,,,
17580,1,,,
17710,0,,,
17740,1,,,
18000,0,,,
18010,1,,,
18020,0,,,
18030,1,,,
18040,0,,,
18050,0,,,
18070,0,,,
18100,0,,,
18110,0,,,
18120,0,,,
18300,0,,,
18400,0,,,
18420,0,,,
18430,0,,,
18470,0,,,
18480,0,,,
18500,0,,,
18510,1,,,
18600,0,,,
18610,1,,,
18700,0,,,
18710,1,,,
18800,1,,,
18820,0,,,
19000,0,,,
19020,0,,,
19200,0,,,
19210,1,,,
19320,0,,,
19500,0,,,
19510,1,,,
19680,0,,,
19800,0,,,
19830,0,,,
19900,0,,,
19980,0,,,
20200,0,,,
20500,0,,,
20510,0,,,
20530,0,,,
20540,0,,,
20550,0,,,
20560,1,,,
20570,0,,,
20700,0,,,
20710,0,,,
20720,1,,,
20730,1,,,
20820,0,,,
20920,0,,,
21000,0,,,
21010,0,,,
21020,1,,,
21030,0,,,
21090,0,,,
21100,0,,,
21130,0,,,
21300,0,,,
21310,1,,,
21400,0,,,
21410,1,,,
21500,0,,,
21510,1,,,
21650,1,,,
21660,0,,,
21670,0,,,
21680,0,,,
21690,0,,,
21780,0,,,
21800,0,,,
21980,0,,,
22000,0,,,
22010,1,,,
22100,0,,,
22110,1,,,
22120,0,,,
22130,0,,,
22140,0,,,
22150,1,,,
22160,1,,,
22170,1,,,
22180,0,,,
22200,0,,,
22220,1,,,
22230,0,,,
22300,0,,,
22310,0,,,
22320,0,,,
22330,0,,,
22340,0,,,
22350,1,,,
22370,0,,,
22380,0,,,
22450,0,,,
22500,0,,,
22600,0,,,
22610,0,,,
22620,1,,,
22650,0,,,
22660,1,,,
22670,0,,,
22680,1,,,
22690,1,,,
23150,0,,,
23300,0,,,
23310,0,,,
23320,1,,,
23380,0,,,
23400,0,,,
23410,1,,,
23420,0,,,
23450,0,,,
23455,0,,,
23460,0,,,
23470,1,,,
23490,0,,,
23500,0,,,
23520,1,,,
23530,0,,,
23600,0,,,
23610,1,,,
23700,0,,,
24010,0,,,
24200,1,,,
24240,0,,,
24400,0,,,
24410,0,,,
24420,0,,,
24430,1,,,
24460,0,,,
24480,0,,,
24640,0,,,
24650,0,,,
24660,0,,,
24670,0,,,
24710,1,,,
24720,0,,,
24780,0,,,
24790,0,,,
24800,0,,,
24810,0,,,
24870,0,,,
24880,0,,,
25000,0,,,
25010,0,,,
25500,0,,,
25510,1,,,
25600,1,,,
25610,1,,,
25620,0,,,
25700,0,,,
25710,1,,,
25800,0,,,
25808,0,,,
25830,0,,,
25850,0,,,
25890,0,,,
25900,0,,,
25910,0,,,
25930,0,,,
25980,0,,,
25990,0,,,
26000,0,,,
26010,1,,,
26300,0,,,
26500,0,,,
26510,1,,,
26810,1,,,
26900,0,,,
26910,1,,,
27000,0,,,
27020,0,,,
27030,1,,,
27040,1,,,
27050,0,,,
27200,0,,,
27400,0,,,
27610,1,,,
27800,0,,,
27810,0,,,
27900,0,,,
27910,1,,,
27920,0,,,
27930,1,,,
27940,0,,,
28000,0,,,
28020,1,,,
29120,0,,,
29130,0,,,
29140,1,,,
29150,1,,,
29160,0,,,
29170,1,,,
29180,0,,,
29200,1,,,
29600,0,,,
29610,0,,,
29620,0,,,
29630,0,,,
29700,0,,,
